study_id,year,phase,drug,drug_class,route,n_total,n_placebo,n_active,age_mean,age_sd,female_pct,achr_pct,musk_pct,sero_neg_pct,duration_mean,baseline_mgadl,baseline_mgadl_sd,baseline_qmg,baseline_qmg_sd,baseline_mgc,baseline_mgc_sd,mgfa_I_n,mgfa_II_n,mgfa_III_n,mgfa_IV_n,mgfa_V_n,pct_steroid_placebo,pct_ist_placebo,pct_achei_placebo,pct_thymectomy_placebo,tp_mgadl_raw,tp_mgadl_wk,mgadl_change,mgadl_change_sd,mgadl_vi,mgadl_sei,tp_qmg_raw,tp_qmg_wk,qmg_change,qmg_change_sd,qmg_vi,qmg_sei,tp_mgc_raw,tp_mgc_wk,mgc_change,mgc_change_sd,mgc_vi,mgc_sei,era_2017,mgfa_severe_pct,crossover,steroid_change,steroid_change_details,rescue_therapy,rescue_type,rescue_rate
Tindall 1993,1993,3,cyclosporine,,PO,39,19,20,44.05,15.57,57.9,100,0,0,,,,12.37,6.29,,,0,0,,,,100,,,,,,,,,,6 months,26,-0.79,3.74,0.736189474,0.858014845,,,,,,,pre_2017,,TRUE,Taper,Steroid taper was part of the trial design; entry/exit steroid doses reported per patient,Not specified,,
Wolfe 2002,2002,2,IVIG,,IV,15,9,6,37.8,,,100,0,0,,6,3.8,11.3,5.6,,,0,0,,,,55.5,55.5,,,Day 42,6,-2.6,2.4,0.64,0.8,Day 42,6,-1.6,2.7,0.81,0.9,,,,,,,pre_2017,,FALSE,Stable,,Not specified,,
Meriggioli 2003,2003,2,mycophenolate,,PO,14,7,7,51.3,14.93,71,78.6,,,9.9,,,16.71,,,,0,3,4,0,0,71.4,14.4,,71.4,,,,,,,5 months,21.6,-0.29,,,,,,,,,,pre_2017,57.1,FALSE,Stable,,No,,0
Zinman 2007,2007,3,IVIG,,IV,52,27,25,55,17.12,63,40.7,,,5.53,,,12.5,5.49,,,0,0,,,,25.9,18.5,48.1,33.3,,,,,,,Day 28,4,-1.19,,,,,,,,,,pre_2017,,FALSE,Stable,Not explicitly stated; presumed stable background therapy,No,,0
Yoshikawa 2011,2011,3,tacrolimus,,PO,80,40,40,44.4,12.36,67.5,72.5,,,7.94,1.6,2.31,4.8,3.42,,,11,22,4,2,1,100,,57.5,2.5,Week 28,28,0.7,2.38,0.14161,0.376311042,Week 28,28,1,4.46,0.49729,0.705187918,,,,,,,pre_2017,17.5,FALSE,Taper,Prednisolone tapered by 2.5 mg/day every 4 weeks from week 4 if MM status maintained,No,,0
Howard 2013,2013,2,eculizumab,complement,IV,14,7,7,48,12.3,57,100,0,0,7,,,18,,,,0,4,8,2,0,50,50,86,43,,,,,,,16W,,-2.7,12.44,22.10765714,4.701878044,,,,,,,pre_2017,71.4,TRUE,Stable,,Yes,PLEX,0.14
Pasnoor 2016,2016,3,methotrexate,,PO,50,25,25,68.8,13.51,36,100,0,0,,4.1,3,10.4,4.2,8.2,4.1,0,20,5,0,0,100,,,,12 months,52,0.26,3.06,0.374544,0.612,12 months,52,0.3,5.36,1.149184,1.072,12 months,52,-1.3,5.82,1.354896,1.164,pre_2017,20,FALSE,Taper,Protocol-mandated prednisone taper from month 3 if improved; increase if worsened,Yes,Steroid increase,
Zhou 2017,2017,3,tacrolimus,,PO,83,38,45,44,12.1,47.4,,,,5.29,5.6,3.1,13.6,3.7,,,0,15,19,4,0,100,0,,,Week 24,24,-2.8,2.47,0.16055,0.40068691,Week 24,24,-3.3,,,,,,,,,,2017_plus,60.5,FALSE,Taper,Steroid taper allowed after week 5 at physician discretion,No,,0
Howard 2017,2017,3,eculizumab,complement,IV,126,63,63,46.9,18,66,100,0,0,9.2,9.9,2.6,16.9,5.6,18.9,6,0,29,29,5,0,81,,,49,Week 26,26,-2.3,3.81,0.230414286,0.480014881,Week 26,26,-1.6,3.89,0.240192063,0.490093933,Week 26,26,-4.8,8.09,1.03885873,1.019244196,2017_plus,54,FALSE,Stable,,Yes,"IVIG, PLEX, steroids",0.19
Hewett 2018,2018,2,belimumab,,IV,40,21,19,59,13.88,67,90.4,9.6,0,9.01,5,3.48,12.5,4.41,12,6.95,0,15,6,0,0,86,50,95,33,week 24,24,-2.01,2.7,0.347142857,0.589188304,week 24,24,-2.37,5.04,1.2096,1.099818167,week 24,24,-3.86,4.76,1.078933333,1.038717158,2017_plus,28.6,FALSE,Stable,Not explicitly stated; presumed stable background therapy,Not specified,,
Howard 2019,2019,2,efgartigimod,fcrn,IV,24,12,12,43.5,19.3,66.7,100,0,0,13.3,8,2.2,11.8,5.4,14.5,4.5,0,7,4,1,0,41.7,25,83.3,58.4,Week 11,11,-1.79,3.98,1.320033333,1.148927036,Week 11,11,-2.12,5.51,2.530008333,1.590599992,Week 11,11,-4.71,6.69,3.729675,1.93123665,2017_plus,41.7,FALSE,Stable,,Yes,"IVIG, PLEX",0
Howard 2020,2020,2,zilucoplan,complement,SC,45,15,30,48.4,15.7,73.3,100,0,0,6.3,8.8,3.6,18.7,4,18.7,5.7,0,7,8,0,0,73.3,60,93.3,33.3,Week 12,12,-1.1,3.49,0.812006667,0.901114125,Week 12,12,-3.2,4.65,1.4415,1.200624837,Week 12,12,-3.3,6.2,2.562666667,1.600833116,2017_plus,53.3,FALSE,Stable,Not explicitly stated; presumed stable background therapy,Yes,"IVIG, PLEX",0.2
Howard 2021,2021,3,efgartigimod,fcrn,IV,167,83,84,48.2,15,66,77,4,19,8.8,8.8,2.3,15.5,4.6,18.3,5.5,0,31,49,3,0,81,61,,43,Week 10,10,-1.3,3.2,0.123373494,0.351245632,Week 10,10,-0.79,3.2,0.123373494,0.351245632,Week 10,10,-3.5,4.96,0.296404819,0.54443073,2017_plus,62.7,FALSE,Stable,,Yes,"IVIG, PLEX, Steroids",0.02
Bril 2021,2021,2,rozanolixizumab,fcrn,SC,43,22,21,53.3,15.7,63.6,95,0,5,,6.1,2.6,15.4,3.6,13.9,6,0,9,12,1,0,50,50,86,46,Day 29,4.14,-0.4,2.35,0.251022727,0.501021683,Day 29,4.14,-1.2,2.81,0.358913636,0.599094013,Day 29,4.14,-1.2,4.5,0.920454545,0.959403224,2017_plus,59.1,FALSE,Stable,,Not specified,,
Yan 2022,2022,2,batoclimab,fcrn,SC,30,9,21,40.2,9.3,77.8,88.9,11.1,0,6,8.2,1.4,14.9,5,17.7,4,0,4,3,2,0,66.7,33.3,77.8,22.2,Day 43,6.14,-2.2,2.7,0.81,0.9,Day 43,6.14,-1.7,3.3,1.21,1.1,Day 43,6.14,-3.7,4.5,2.25,1.5,2017_plus,55.6,FALSE,Stable,,Yes,"IVIG, PLEX",
Vu 2022,2022,3,ravulizumab,complement,IV,175,89,86,53.3,16.1,51,100,0,0,10,8.9,2.3,14.5,5.3,,,0,39,45,5,0,73,71,,,Week 26,26,-1.4,3.49,0.136855056,0.36993926,Week 26,26,-0.8,4.25,0.202949438,0.450499099,,,,,,,2017_plus,56.2,FALSE,Stable,,Yes,"IVIG, PLEX, steroids",0.16
Piehl 2022,2022,3,rituximab,B-cell,IV,47,22,25,58,18.6,31.8,100,0,0,0.39,4.5,2.7,9.3,4.2,,,0,6,11,0,0,54.5,,,4.5,Week 16,16,-0.5,3.6,0.589090909,0.767522579,Week 24,24,-5.8,4.6,0.961818182,0.980723295,,,,,,,2017_plus,64.7,FALSE,Taper,Built-in steroid taper first 8 weeks; steroid increase allowed after wk 8,Yes,"IVIG, PLEX, steroids",0.36
Nowak 2022,2022,2,rituximab,B-cell,IV,52,27,25,56.8,17,44.4,100,0,0,4.4,4,3.4,9.2,3.9,8.5,4,1,16,9,1,0,100,37,74.1,14.8,Week 52,52,-2,3.3,0.403333333,0.635085296,Week 52,52,-1.7,3.9,0.563333333,0.75055535,Week 52,52,-4,4.1,0.622592593,0.789045368,2017_plus,37,FALSE,Taper,Protocol-mandated prednisone taper starting week 8,Yes,"IVIG, PLEX",0.3
GomezMancilla 2024,2023,2,iscalimab,,IV,44,22,22,43.3,13.9,72.7,100,0,0,8.4,,,16.3,4.22,15.2,6.21,0,8,12,1,0,,40.9,,36.3,Week 25,25,-1.03,3.17,0.456768182,0.675846271,Week 25,25,-2.83,4.19,0.798004545,0.893311002,Week 25,25,-5.25,4.89,1.086913636,1.042551503,2017_plus,61.9,FALSE,Taper,Steroid taper allowed after week 13 at physician discretion,Yes,"IVIG, PLEX",0.05
Howard 2023,2023,3,zilucoplan,complement,SC,174,88,86,53.3,15.7,53,100,0,0,9,10.9,3.4,19.4,4.5,21.6,7.2,0,27,57,4,0,58,57,83,42,week 12,12,-2.3,4.11,0.191955682,0.438127472,week 12,12,-3.25,5.24,0.312018182,0.558585877,week 12,12,-5.42,7.36,0.615563636,0.784578636,2017_plus,69.3,FALSE,Stable,,Yes,PLEX,0.12
Bril 2023,2023,3,rozanolixizumab,fcrn,SC,200,67,133,50.4,17.7,70,88,12,0,6.8,8.4,3.4,15.8,3.5,,,0,23,41,3,0,57,49,60,46,Day 43,6.14,-0.78,3.92,0.229349254,0.478904222,Day 43,6.14,-0.85,4,0.23880597,0.488677777,Day 43,6.14,-1.51,5.76,0.49518806,0.703695999,2017_plus,65.7,FALSE,Stable,,Yes,"IVIG, PLEX",0.06
Bril 2025,2024,2,IVIG,,IV,62,32,30,48,13.7,59.3,100,0,0,11.3,7.8,3.4,16.2,4.5,16.8,7.3,0,14,17,1,0,12.5,56,31,59,24W,,,,,,24 W,,-3.1,6.22,1.2090125,1.099551045,24W,,-3.04,8.22,2.1115125,1.453104435,2017_plus,56.2,FALSE,Stable,,No,,0
