Study ID,Sequence Generation,"","",Allocation concealment,"","",Blinding of participants and personnel for All outcomes,"","",Blinding of outcome assessors for All outcomes,"","",Incomplete outcome data for All outcomes,"","",Selective outcome reporting,"","",Other sources of bias,"",""
"",Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments,Judgement,Quotes,Comments
Nowak 2025,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Habib 2025,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Bril 2025,low,"","",unclear,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Antozzi 2025,low,"","",unclear,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Yan 2024,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Nowak 2024,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
GomezMancilla 2024,low,"","",low,"","",unclear,"","",unclear,"","",low,"","",low,"","",low,"",""
Antozzi 2024,low,"","",low,"","",low,"","",low,"","",high,"","",low,"","",low,"",""
Howard 2023,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Bril 2023,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Yan 2022,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Vu 2022,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Piehl 2022,low,"","",low,"","",low,"","",low,"","",high,"","",low,"","",low,"",""
Nowak 2022,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",high,"",""
Howard 2021,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Bril 2021,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Howard 2020,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Howard 2019,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Hewett 2018,low,"","",low,"","",low,"","",low,"","",high,"","",low,"","",low,"",""
Zhou 2017,low,"","",low,"","",low,"","",unclear,"","",high,"","",high,"","",low,"",""
Howard 2017,low,"","",low,"","",low,"","",low,"","",low,"","",low,"","",low,"",""
Pasnoor 2016,low,"","",low,"","",high,"","",high,"","",low,"","",low,"","",low,"",""
Howard 2013,low,"","",low,"","",low,"","",low,"","",high,"","",high,"","",low,"",""
Yoshikawa 2011,low,"","",low,"","",high,"","",high,"","",low,"","",low,"","",low,"",""
Zinman 2007,unclear,"","",unclear,"","",low,"","",low,"","",unclear,"","",low,"","",low,"",""
Meriggioli 2003,high,"","",unclear,"","",unclear,"","",unclear,"","",high,"","",high,"","",high,"",""
Wolfe 2002,low,"","",unclear,"","",low,"","",low,"","",high,"","",high,"","",high,"",""
Tindall 1993,high,"","",unclear,"","",high,"","",high,"","",high,"","",high,"","",high,"",""
